time,u1,u2,u3,y,z,phi,beta
4.22,6.627917226488218,3.6986026888880237,-0.581419015998345,5.859972,5.378803,0.3740084,0.27069363
4.24,6.744758446469884,-15.0,-0.44284844997771544,5.788013,5.3778477,0.40525326,0.26519066
4.26,6.79162268566804,-15.0,-0.41499494999220066,5.717628,5.3770514,0.39767906,0.2629779
4.28,6.753898825474995,3.6919562292568675,-0.5135565356102496,5.648961,5.3764563,0.35121152,0.26485017
4.3,6.704824249397479,15.0,-0.6439514439609026,5.581914,5.3758307,0.31595868,0.26805282
4.32,6.709373370177094,15.0,-0.6941841227561587,5.5162206,5.3749256,0.32242304,0.26901004
4.34,6.773470450513977,-4.049956803883141,-0.6324670909294359,5.451715,5.373685,0.37073857,0.26640558
4.36,6.853200898159742,-15.0,-0.5239529446645531,5.388476,5.372284,0.40994078,0.26206
4.38,6.893811936191264,-15.0,-0.46638484821706244,5.326777,5.3709497,0.4105402,0.25904366
4.4,6.881649971827845,-4.50199889293075,-0.5033986729291778,5.2668123,5.36977,0.3723833,0.25892833
4.42,6.848085330511425,15.0,-0.5931756054071635,5.208557,5.3686533,0.3235635,0.26067135
4.44,6.835130334526282,15.0,-0.6551987166258546,5.1518044,5.367443,0.31632546,0.26183382
4.46,6.85895670483632,8.67635757452441,-0.6427010162679994,5.096325,5.3660674,0.3508346,0.26076907
4.48,6.9006988781462235,-15.0,-0.5761551968833531,5.042103,5.364582,0.4101946,0.25787905
4.5,6.930487921643517,-15.0,-0.5178225317768073,4.989324,5.3631153,0.431091,0.25502837
4.5200000000000005,6.930618684167955,-15.0,-0.5153114083698689,4.9382596,5.361716,0.41336828,0.25375214
4.54,6.919045001868605,11.800614643721893,-0.5618064236250826,4.8889894,5.3603487,0.35701972,0.25405744
4.5600000000000005,6.915258817292731,15.0,-0.6114793440882322,4.841416,5.3589363,0.3336376,0.25469714
4.58,6.929758140925765,15.0,-0.624210173130274,4.7952924,5.357465,0.3518861,0.25442898
4.6000000000000005,6.947938038181494,-15.0,-0.5976586224202931,4.750523,5.355953,0.41179913,0.25297424
4.62,6.962071418647636,-15.0,-0.5601738416332798,4.7072005,5.354446,0.43330595,0.25107056
4.64,6.965987816210352,-15.0,-0.5437211507981486,4.665582,5.352932,0.41630656,0.24964479
4.66,6.972512569533642,10.954437741180264,-0.5558303847217148,4.62576,5.351408,0.36075708,0.24908997
4.68,6.979915182431675,15.0,-0.5812732497807225,4.5876646,5.3498855,0.33590165,0.24913453
4.7,6.984700980795994,15.0,-0.5995673082940742,4.551068,5.348413,0.35259628,0.24922486
4.72,6.977919318570271,-15.0,-0.6011451503709755,4.5158625,5.3469925,0.41088977,0.24891366
4.74,6.970316038043685,-15.0,-0.5883008598264288,4.482112,5.345589,0.4307863,0.24811745
4.76,6.970621454248186,-15.0,-0.5717818783388,4.450048,5.344124,0.41225165,0.24704476
4.78,6.989674648859519,12.595570481651485,-0.5607664341112424,4.419756,5.3425946,0.35524175,0.24608903
4.8,7.009701816665455,15.0,-0.5615884289590845,4.391177,5.341076,0.3333154,0.24564093
4.82,7.012544898669682,15.0,-0.5749468353623264,4.364094,5.339681,0.35288662,0.24584608
4.84,6.988300473187565,-15.0,-0.5937808573449193,4.338412,5.338418,0.41399103,0.24638145
4.86,6.961284763469807,-15.0,-0.6033865854562376,4.314193,5.3371954,0.43667886,0.24664953
4.88,6.95494793285381,-15.0,-0.5943347284719437,4.2916613,5.335864,0.42097571,0.24619578
4.9,6.983868108847625,9.475765763301716,-0.5700051981363536,4.2709064,5.334395,0.36685747,0.2451887
4.92,7.020604152768831,15.0,-0.5494280511488498,4.251891,5.3328943,0.33952796,0.24439906
4.94,7.033129437624458,15.0,-0.5522129587609355,4.234427,5.331534,0.3536636,0.24459502
4.96,7.005041020562388,-13.004097030978336,-0.5798193413768025,4.2184067,5.3303614,0.40927178,0.24577543
4.98,6.964510738206543,-15.0,-0.6091658492334124,4.203864,5.3292713,0.43174857,0.24710281
5.0,6.947619856986198,-15.0,-0.6134891713758377,4.190989,5.328071,0.4158498,0.24756923
5.0200000000000005,6.975987908559366,9.98055924578508,-0.5856609140750884,4.179859,5.3266954,0.36158702,0.24696086
5.04,7.020813411997146,15.0,-0.5490775175360689,4.1704383,5.325258,0.3355008,0.24614409
5.0600000000000005,7.040020646424014,15.0,-0.5378794477656825,4.162548,5.3239703,0.3508788,0.24633625
5.08,7.00919934596166,-13.94542719735913,-0.5650317465054011,4.1560955,5.322914,0.40769112,0.24792692
5.1000000000000005,6.957904166594594,-15.0,-0.6064812548871004,4.151119,5.3219814,0.4288224,0.25008392
5.12,6.930470561188627,-15.0,-0.6239131586774875,4.147804,5.320943,0.41157097,0.25144765
5.14,6.956714613033905,11.472051961369253,-0.5987865492945164,4.1462116,5.3197,0.35598332,0.25143144
5.16,7.0073302630432694,15.0,-0.5531183187854536,4.146299,5.3183603,0.33258456,0.2508276
5.18,7.033804764176234,15.0,-0.5298643091221575,4.1478896,5.317162,0.35066077,0.25110987
5.2,7.004500280930642,-15.0,-0.5524147923357137,4.15091,5.3162127,0.41014996,0.2530049
5.22,6.948430827708896,-15.0,-0.5998151540627472,4.155412,5.3154116,0.43111226,0.2558069
5.24,6.914377331260107,-15.0,-0.627679474959691,4.1615863,5.314509,0.4136741,0.25798208
5.26,6.938686993611026,11.49942100409313,-0.6081049964089069,4.169485,5.3133783,0.3579097,0.25864825
5.28,6.993919827702902,15.0,-0.5588754973911514,4.179061,5.312115,0.33443207,0.25844374
5.3,7.0282611764482965,15.0,-0.5268860945800884,4.190141,5.310968,0.35244477,0.25894684
5.32,7.004496325240451,-15.0,-0.5434935804427304,4.20266,5.3100696,0.4118625,0.2611384
5.34,6.948145270386692,-15.0,-0.5927403424578601,4.2166743,5.3093376,0.4327295,0.26448888
5.36,6.909492740529105,-15.0,-0.628255399871605,4.2323713,5.308518,0.4151772,0.26741993
5.38,6.930080884186998,11.500244130704196,-0.6154230903343613,4.249797,5.307464,0.35930023,0.2688344
5.4,6.986251885736342,15.0,-0.5664853967683434,4.268898,5.3062544,0.3357317,0.26917875
5.42,7.025668199314251,15.0,-0.5286460355529445,4.2895036,5.3051367,0.3536738,0.2700196
5.44,7.007275800144747,-15.0,-0.538647165760779,4.311553,5.3042607,0.4130256,0.2725059
5.46,6.952509685406443,-15.0,-0.5862589634414872,4.335108,5.303563,0.4338138,0.2763032
5.48,6.9109546666461785,-15.0,-0.6263110230085649,4.3603554,5.302795,0.41616538,0.27989078
5.5,6.927295789353065,-15.0,-0.6201789286376577,4.387337,5.301799,0.3601871,0.28204542
5.5200000000000005,6.981695443406217,-15.0,-0.5743436769267327,4.415994,5.300635,0.26586264,0.28302002
5.54,7.023606625800934,15.0,-0.5335962694320926,4.446154,5.299542,0.13306977,0.28428358
5.5600000000000005,7.009960766992047,15.0,-0.5373619442655578,4.477472,5.298769,0.04169982,0.28708646
5.58,6.936480038525052,15.0,-0.5815846027430176,4.5093846,5.2983947,-0.008237172,0.2911146
5.6000000000000005,6.841739496333971,2.9510887985852254,-0.6187067624085583,4.541464,5.2982736,-0.016623273,0.29470515
5.62,6.778495830877199,-15.0,-0.6049419791067796,4.5734644,5.2982354,-0.01548992,0.29641148
